"YEAR"	"variable"	"value"	"month_nr"	"dates1"	"ym"
1949	"JAN"	1.42	1	"1949-1-01"	1949-01-01
1949	"FEB"	2.52	2	"1949-2-01"	1949-02-01
1949	"MAR"	0.32	3	"1949-3-01"	1949-03-01
1949	"APR"	6.22	4	"1949-4-01"	1949-04-01
1949	"MAY"	10.32	5	"1949-5-01"	1949-05-01
1949	"JUN"	13.72	6	"1949-6-01"	1949-06-01
1949	"JUL"	16.82	7	"1949-7-01"	1949-07-01
1949	"AUG"	14.42	8	"1949-8-01"	1949-08-01
1949	"SEP"	14.92	9	"1949-9-01"	1949-09-01
1949	"OCT"	9.82	10	"1949-10-01"	1949-10-01
1949	"NOV"	5.02	11	"1949-11-01"	1949-11-01
1949	"DEC"	2.61	12	"1949-12-01"	1949-12-01
1950	"JAN"	-1.19	1	"1950-1-01"	1950-01-01
1950	"FEB"	0.41	2	"1950-2-01"	1950-02-01
1950	"MAR"	3.31	3	"1950-3-01"	1950-03-01
1950	"APR"	6.11	4	"1950-4-01"	1950-04-01
1950	"MAY"	12.01	5	"1950-5-01"	1950-05-01
1950	"JUN"	13.71	6	"1950-6-01"	1950-06-01
1950	"JUL"	15.41	7	"1950-7-01"	1950-07-01
1950	"AUG"	16.31	8	"1950-8-01"	1950-08-01
1950	"SEP"	11.51	9	"1950-9-01"	1950-09-01
1950	"OCT"	7.61	10	"1950-10-01"	1950-10-01
1950	"NOV"	2.91	11	"1950-11-01"	1950-11-01
1950	"DEC"	-1	12	"1950-12-01"	1950-12-01
1951	"JAN"	-0.5	1	"1951-1-01"	1951-01-01
1951	"FEB"	-0.8	2	"1951-2-01"	1951-02-01
1951	"MAR"	-0.8	3	"1951-3-01"	1951-03-01
1951	"APR"	4.7	4	"1951-4-01"	1951-04-01
1951	"MAY"	9.3	5	"1951-5-01"	1951-05-01
1951	"JUN"	14.5	6	"1951-6-01"	1951-06-01
1951	"JUL"	15.3	7	"1951-7-01"	1951-07-01
1951	"AUG"	15	8	"1951-8-01"	1951-08-01
1951	"SEP"	12.8	9	"1951-9-01"	1951-09-01
1951	"OCT"	7.9	10	"1951-10-01"	1951-10-01
1951	"NOV"	5.7	11	"1951-11-01"	1951-11-01
1951	"DEC"	3.19	12	"1951-12-01"	1951-12-01
1952	"JAN"	-0.71	1	"1952-1-01"	1952-01-01
1952	"FEB"	-0.01	2	"1952-2-01"	1952-02-01
1952	"MAR"	-0.81	3	"1952-3-01"	1952-03-01
1952	"APR"	6.39	4	"1952-4-01"	1952-04-01
1952	"MAY"	9.79	5	"1952-5-01"	1952-05-01
1952	"JUN"	11.39	6	"1952-6-01"	1952-06-01
1952	"JUL"	14.79	7	"1952-7-01"	1952-07-01
1952	"AUG"	14.39	8	"1952-8-01"	1952-08-01
1952	"SEP"	9.19	9	"1952-9-01"	1952-09-01
1952	"OCT"	5.99	10	"1952-10-01"	1952-10-01
1952	"NOV"	1.19	11	"1952-11-01"	1952-11-01
1952	"DEC"	-0.01	12	"1952-12-01"	1952-12-01
1953	"JAN"	-0.01	1	"1953-1-01"	1953-01-01
1953	"FEB"	-1.41	2	"1953-2-01"	1953-02-01
1953	"MAR"	2.99	3	"1953-3-01"	1953-03-01
1953	"APR"	5.59	4	"1953-4-01"	1953-04-01
1953	"MAY"	10.39	5	"1953-5-01"	1953-05-01
1953	"JUN"	15.79	6	"1953-6-01"	1953-06-01
1953	"JUL"	15.19	7	"1953-7-01"	1953-07-01
1953	"AUG"	14.49	8	"1953-8-01"	1953-08-01
1953	"SEP"	11.79	9	"1953-9-01"	1953-09-01
1953	"OCT"	9.99	10	"1953-10-01"	1953-10-01
1953	"DEC"	2.98	12	"1953-12-01"	1953-12-01
1954	"JAN"	-1.52	1	"1954-1-01"	1954-01-01
1954	"FEB"	-4.02	2	"1954-2-01"	1954-02-01
1954	"MAR"	0.28	3	"1954-3-01"	1954-03-01
1954	"APR"	4.28	4	"1954-4-01"	1954-04-01
