YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1949,1.42,2.52,0.32,6.22,10.32,13.72,16.82,14.42,14.92,9.82,5.02,2.61,2.50,5.62,14.99,9.92,8.26
1950,-1.19,0.41,3.31,6.11,12.01,13.71,15.41,16.31,11.51,7.61,2.91,-1.00,0.61,7.14,15.14,7.34,7.56
1951,-0.50,-0.80,-0.80,4.70,9.30,14.50,15.30,15.00,12.80,7.90,5.70,3.19,-0.77,4.40,14.93,8.80,6.84
1952,-0.71,-0.01,-0.81,6.39,9.79,11.39,14.79,14.39,9.19,5.99,1.19,-0.01,0.82,5.12,13.52,5.46,6.23
1953,-0.01,-1.41,2.99,5.59,10.39,15.79,15.19,14.49,11.79,9.99,999.90,2.98,-0.48,6.32,15.16,8.85,7.46
1954,-1.52,-4.02,0.28,4.28,11.58,13.58,13.88,13.98,11.38,7.78,3.98,2.37,-0.85,5.38,13.81,7.71,6.51
1955,-1.93,-4.53,-1.63,3.67,7.87,12.37,17.77,16.97,12.87,7.37,4.57,-0.14,-1.36,3.30,15.70,8.27,6.48
1956,-0.84,-7.04,0.26,3.36,10.06,12.36,15.46,12.66,11.76,6.96,2.36,2.76,-2.67,4.56,13.49,7.03,5.60
1957,1.16,1.16,1.86,5.16,8.86,13.36,15.46,14.66,9.86,8.46,3.86,1.05,1.69,5.29,14.49,7.39,7.22
1958,-1.95,-2.85,-2.85,4.65,8.65,13.35,15.65,14.15,12.75,9.05,5.25,1.04,-1.25,3.48,14.38,9.02,6.41
1959,-1.06,0.34,3.14,6.44,10.64,13.94,17.14,16.54,11.94,8.14,4.34,1.84,0.11,6.74,15.87,8.14,7.71
1960,-1.46,-2.36,1.04,4.94,11.34,14.74,14.34,14.74,11.64,6.94,4.14,1.83,-0.66,5.77,14.61,7.57,6.82
1961,-0.97,2.33,999.90,6.73,10.13,14.23,14.13,13.63,13.03,10.43,3.43,-1.28,1.06,6.31,14.00,8.96,7.58
1962,0.82,0.52,-1.38,5.32,8.02,12.22,13.52,12.62,10.62,8.62,2.82,-0.79,0.02,3.99,12.79,7.35,6.04
1963,-6.09,-5.79,-0.99,4.31,10.01,14.21,14.61,14.31,11.61,8.31,5.91,-1.39,-4.22,4.44,14.38,8.61,5.80
1964,0.01,-0.59,-0.99,6.41,10.61,12.61,13.51,13.81,11.01,7.01,4.21,0.50,-0.66,5.34,13.31,7.41,6.35
1965,0.10,-1.50,0.00,5.10,8.20,13.30,13.10,13.40,12.50,8.10,0.30,-1.31,-0.30,4.43,13.27,6.97,6.09
1966,-4.01,-4.01,1.89,2.39,10.39,14.69,14.69,13.69,11.29,8.09,2.69,0.38,-3.11,4.89,14.36,7.36,5.87
1967,-1.42,1.08,4.08,4.58,9.58,12.88,16.48,14.98,12.48,9.18,5.08,-0.02,0.01,6.08,14.78,8.91,7.45
1968,-2.12,-1.42,2.98,5.98,8.58,14.98,14.38,15.68,12.58,7.88,3.08,-0.93,-1.19,5.85,15.01,7.85,6.88
1969,-0.43,-4.23,-1.73,4.67,8.47,14.47,15.67,16.47,13.07,9.37,2.77,-2.44,-1.86,3.80,15.54,8.40,6.47
1970,-3.74,-5.64,-0.74,2.16,9.96,16.36,14.06,15.16,10.76,7.96,3.56,1.36,-3.94,3.79,15.19,7.43,5.62
1971,-0.04,1.56,-0.14,4.56,10.46,12.66,15.26,14.76,11.36,8.06,3.36,3.85,0.96,4.96,14.23,7.59,6.93
1972,-2.05,-0.85,1.65,5.35,10.15,13.05,16.55,14.45,9.75,6.85,4.35,2.94,0.32,5.72,14.68,6.98,6.92
1973,0.64,1.74,4.34,4.34,9.64,13.94,16.84,14.64,11.64,5.44,1.94,0.33,1.77,6.11,15.14,6.34,7.34
1974,2.13,2.33,2.23,6.73,9.73,13.73,13.43,14.43,12.03,5.63,4.03,3.33,1.60,6.23,13.86,7.23,7.23
1975,3.73,0.43,1.63,4.33,10.33,13.33,15.93,18.23,12.73,8.03,3.63,3.22,2.50,5.43,15.83,8.13,7.97
1976,-0.78,-0.58,-1.08,4.62,10.02,13.62,17.02,16.22,10.72,7.92,3.92,-1.59,0.62,4.52,15.62,7.52,7.07
1977,-1.99,-2.39,2.41,3.31,9.81,13.81,14.01,14.31,10.71,9.21,4.41,1.80,-1.99,5.18,14.04,8.11,6.33
1978,0.80,-3.20,1.00,4.10,10.70,14.40,14.20,14.60,10.50,8.70,6.50,-1.90,-0.20,5.27,14.40,8.57,7.01
1979,-4.80,-4.90,0.20,4.20,9.20,13.40,13.50,14.00,11.90,7.20,3.60,0.69,-3.87,4.53,13.63,7.57,5.47
1980,-2.81,-2.91,-0.51,5.39,10.39,14.39,15.69,14.69,12.69,7.29,2.99,2.18,-1.68,5.09,14.92,7.66,6.50
1981,-1.02,0.08,1.78,5.18,12.08,13.28,15.28,14.98,12.88,6.78,3.98,-5.52,0.41,6.35,14.51,7.88,7.29
1982,-5.22,-1.52,2.68,5.48,9.78,13.48,16.38,15.88,12.48,9.08,5.38,1.47,-4.09,5.98,15.25,8.98,6.53
1983,3.77,-1.93,2.67,5.67,9.27,13.47,16.27,15.67,11.97,8.47,3.27,0.96,1.10,5.87,15.14,7.90,7.50
1984,-0.64,-0.64,-0.04,5.56,10.96,13.16,14.86,15.86,10.56,9.86,5.36,2.25,-0.11,5.49,14.63,8.59,7.15
